tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13089021703,"Census Tract 217.03, DeKalb County, Georgia",4545.0,85953.0,263800.0,447.0,1808,1685,123,117.0,4070.0,65.0,4512.0,209.0,0.0463209219858156,2000,6.317530927228875,0.0,0.0,0.0,0.8954895489548955,0.014301430143014302,0.02574257425742574,0.06803097345132743
13089021808,"Census Tract 218.08, DeKalb County, Georgia",4636.0,64729.0,196000.0,959.0,1750,1166,584,344.0,3111.0,424.0,4626.0,138.0,0.0298313878080415,2000,9.032914206226742,0.0,0.0,0.0,0.6710526315789473,0.091458153580673,0.07420189818809318,0.33371428571428574
13089021812,"Census Tract 218.12, DeKalb County, Georgia",2220.0,50375.0,141200.0,744.0,930,706,224,393.0,1320.0,200.0,2303.0,265.0,0.1150673035171515,2000,9.532918031684204,0.0,0.0,0.0,0.5945945945945946,0.09009009009009009,0.17702702702702702,0.24086021505376345
13089021906,"Census Tract 219.06, DeKalb County, Georgia",5843.0,39632.0,95700.0,731.0,2006,1354,652,213.0,1201.0,4135.0,5812.0,593.0,0.1020302821748107,2000,10.763859718339846,0.0,0.0,0.0,0.20554509669690227,0.7076844086941639,0.03645387643333904,0.325024925224327
13089021908,"Census Tract 219.08, DeKalb County, Georgia",4884.0,36053.0,110200.0,721.0,1803,666,1137,378.0,686.0,3588.0,4884.0,780.0,0.1597051597051597,2000,9.882042528463058,0.0,0.0,0.0,0.14045864045864045,0.7346437346437347,0.0773955773955774,0.6306156405990017
13089022001,"Census Tract 220.01, DeKalb County, Georgia",3713.0,55422.0,128600.0,795.0,1621,1349,272,217.0,2826.0,419.0,3709.0,118.0,0.0318145052574818,2000,7.129166229659184,0.0,0.0,0.0,0.7611096148666846,0.11284675464583895,0.05844330729868031,0.16779765576804442
13089022005,"Census Tract 220.05, DeKalb County, Georgia",4756.0,39936.0,120400.0,634.0,1660,531,1129,132.0,625.0,2980.0,4751.0,786.0,0.1654388549778994,2000,7.496520516930529,0.0,0.0,0.0,0.1314129520605551,0.6265769554247267,0.027754415475189236,0.6801204819277108
13089022007,"Census Tract 220.07, DeKalb County, Georgia",4002.0,38240.0,94700.0,789.0,1369,240,1129,135.0,670.0,2551.0,3974.0,745.0,0.1874685455460493,2000,7.186800670035915,0.0,0.0,0.0,0.16741629185407297,0.637431284357821,0.03373313343328336,0.8246895544192842
13089022100,"Census Tract 221, DeKalb County, Georgia",3682.0,23894.0,71800.0,451.0,1313,494,819,99.0,437.0,2972.0,3682.0,1711.0,0.4646931015752308,2000,6.238188540019042,0.0,0.0,0.0,0.11868549701249322,0.8071700162954916,0.026887561108093427,0.6237623762376238
13089022302,"Census Tract 223.02, DeKalb County, Georgia",4157.0,55327.0,185100.0,901.0,2091,1126,965,165.0,3152.0,330.0,4147.0,400.0,0.0964552688690619,2000,5.318006338613699,0.0,0.0,0.0,0.7582391147462112,0.07938417127736348,0.03969208563868174,0.4615016738402678
